"Source:","/home/bjohan/git_wd/lmx2594/pcb/lmx2594_v2/lmx2594.sch"
"Date:","lör 23 nov 2024 11:15:43"
"Tool:","Eeschema 7.0.11+dfsg-1build4"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","108"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C4, C5, C7, C10, C13, C15","7","10u","C","Capacitors_SMD:C_1210","Unpolarized capacitor","",""
"C2, C3, C6, C8, C9, C11, C12, C14, C19, C40, C41, C42, C43, C59","14","100n","C","Capacitors_SMD:C_0603","Unpolarized capacitor","",""
"C16, C21, C22, C23, C24, C25, C32, C35, C38, C44, C45","11","1u","C","Capacitors_SMD:C_0603","Unpolarized capacitor","",""
"C17, C20, C51, C53","4","10p","C","Capacitors_SMD:C_0402","Unpolarized capacitor","",""
"C18, C26, C27, C33, C50, C52, C56, C57","8","100n","C","Capacitors_SMD:C_0402","Unpolarized capacitor","",""
"C28","1","1.8n","C","Capacitors_SMD:C_0603","Unpolarized capacitor","",""
"C29","1","0p","C","Capacitors_SMD:C_0603","Unpolarized capacitor","",""
"C30","1","68n","C","Capacitors_SMD:C_0603","Unpolarized capacitor","",""
"C31","1","390p","C","Capacitors_SMD:C_0603","Unpolarized capacitor","",""
"C34, C36, C37, C39","4","10u","C","Capacitors_SMD:C_0603","Unpolarized capacitor","",""
"C46","1","10u-1000u","C","Capacitors_SMD:C_1210_HandSoldering","Unpolarized capacitor","",""
"C55, C58","2","100p","C","Capacitors_SMD:C_0402","Unpolarized capacitor","",""
"D1, D2, D3","3","LED","LED","LEDs:LED_0805_HandSoldering","Light emitting diode","",""
"J1, J2, J4, J5, J7, J9","6","Conn_Coaxial","Conn_Coaxial","sch:sma_endlaunch","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","",""
"J3","1","Conn_01x13_Male","Conn_01x13_Male-Connector","Connectors_Molex:Molex_KK-6410-13_13x2.54mm_Straight","","",""
"L1, L3, L5","3","33u","L_Core_Ferrite-Device","Inductors_NEOSID:Neosid_Inductor_Ms95","","",""
"L2, L4","2","10n","L_Core_Ferrite-Device","Capacitors_SMD:C_0402","","",""
"L7, L8","2","18n","L","Capacitors_SMD:C_0402","Inductor","",""
"R1, R2, R6, R7, R10, R15, R24, R25, R26, R27","10","0","R","Capacitors_SMD:C_0603","Resistor","",""
"R3, R8","2","50","R","Capacitors_SMD:C_0603","Resistor","",""
"R4, R9","2","150","R","Capacitors_SMD:C_0603","Resistor","",""
"R5","1","1k","R","Capacitors_SMD:C_0603","Resistor","",""
"R11, R12, R13, R16, R18, R19, R20, R22","8","50","R","Resistors_SMD:R_0402","Resistor","",""
"R14","1","18","R","Capacitors_SMD:C_0603","Resistor","",""
"R17, R28, R29","3","68","R","Capacitors_SMD:C_0603","Resistor","",""
"R21","1","100","R","Capacitors_SMD:C_0603","Resistor","",""
"R23","1","10K","R","Capacitors_SMD:C_0603","Resistor","",""
"U1","1","LM7809_TO220","LM7809_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1A 35V Linear Regulator, Fixed Output 9V, TO-220","",""
"U2","1","VS_500","VS_500","Oscillators:Oscillator_SMD_Fordahl_DFAS1-6pin_14.8x9.1mm","","",""
"U3","1","lmx254","lmx254","Housings_DFN_QFN:Texas_PVQFN-N40","","",""
"U4","1","L7805","L7805","Power_Integrations:TO-220","Positive 1.5A 35V Linear Regulator, Fixed Output 5V, TO-220/TO-263/TO-252","",""
"U5","1","ADP7158","ADP7158","Housings_SOIC:SOIC-8-1EP_3.9x4.9mm_Pitch1.27mm","","",""
"U6, U7","2","GRF3042","GRF3042","Housings_DFN_QFN:DFN-6-1EP_2x2mm_Pitch0.5mm","","",""
